date,time,position,keywords,asin,brand,ispromoted,accountid,ks,price,rate,reviews
2019-09-08,5,1,huggies baby wipes,B07M6XVCBY,Huggies,1,546,KS7246,13.98,4.6,641
2019-09-08,5,1,huggies diapers 3,B07MYVX56H,Huggies,1,546,KS7246,46,4.3,587
2019-09-08,5,1,huggies diapers size 1,B07MP6VXRN,Huggies,1,546,KS7246,39.76,4.5,651
2019-09-08,5,1,huggies natural care wipes,B07M6XVCBY,Huggies,1,546,KS7246,13.98,4.6,641
2019-09-08,5,1,huggies overnites size 5,B07MRQ9PKY,Huggies,1,546,KS7246,46.99,4.5,651
2019-09-08,5,1,huggies size 1,B07MP6VXRN,Huggies,1,546,KS7246,39.76,4.5,651
2019-09-08,5,1,huggies size 2,B07M6FLDVZ,Huggies,1,546,KS7246,46.7,4.5,651
2019-09-08,5,1,huggies size 3,B07MKYKPCK,Huggies,1,546,KS7246,45.6,4.5,651
2019-09-08,5,1,huggies size 4,B07MYVXJDD,Huggies,1,546,KS7246,46.17,4.3,587
2019-09-08,5,1,huggies size 5,B07MYW25CJ,Huggies,1,546,KS7246,46.7,4.3,587
2019-09-08,5,1,huggies size 6,B07MYWMKNK,Huggies,1,546,KS7246,46.7,4.3,587
2019-09-08,5,1,huggies wipes,B07M6XVCBY,Huggies,1,546,KS7246,13.98,4.6,641
2019-09-08,5,1,huggies wipes unscented,B07M6XVCBY,Huggies,1,546,KS7246,13.98,4.6,641
2019-09-08,5,1,natural baby wipes,B07MVS998P,Huggies,1,546,KS7246,12.99,4.6,641
2019-09-08,5,1,newborn diaper,B07DCB7H79,Pampers,1,546,KS7246,27.39,3.9,1009
2019-09-08,5,1,newborn diapers,B07DCB7H79,Pampers,1,546,KS7246,27.39,3.9,1009
2019-09-08,5,1,newborn diapers honest,B07G8VKJGX,The Honest Company,1,546,KS7246,43.96,4,459
2019-09-08,5,1,newborn diapers supersize,B07MYVXSDH,Huggies,1,546,KS7246,24.27,4.5,651
2019-09-08,5,1,pamper diapers size 1,B07DCCP3Y1,Pampers,1,546,KS7246,48.28,4,234
2019-09-08,5,1,pampers diapers size 1,B07DCCP3Y1,Pampers,1,546,KS7246,48.28,4,234
2019-09-08,5,1,pampers size 1,B07DCCP3Y1,Pampers,1,546,KS7246,48.28,4,234
2019-09-08,5,1,sensitive baby wipes,B07MVS998P,Huggies,1,546,KS7246,12.99,4.6,641
2019-09-08,5,1,size 1 diapers,B07DCCP3Y1,Pampers,1,546,KS7246,48.28,4,234
2019-09-08,5,1,size 5 diapers,B07MYW25CJ,Huggies,1,546,KS7246,46.7,4.3,587
2019-09-08,5,1,swaddlers size 1,B07DCCP3Y1,Pampers,1,546,KS7246,48.28,4,234
2019-09-08,5,1,swim diaper,B00WG76LQW,Huggies,1,546,KS7246,9.19,4.3,130
2019-09-08,5,1,swim diapers,B00WG76LQW,Huggies,1,546,KS7246,9.19,4.3,130
2019-09-08,5,1,swimming diapers,B00WG76LQW,Huggies,1,546,KS7246,9.19,4.3,130
2019-09-08,5,1,wet wipes baby,B07MHTN4HW,Huggies,1,546,KS7246,8.98,4.7,557
2019-09-08,5,1,wipes baby,B07MHTN4HW,Huggies,1,546,KS7246,8.98,4.7,557
2019-09-08,5,2,baby wipes,B07MVS998P,Huggies,1,546,KS7246,12.99,4.6,641
2019-09-08,5,2,baby wipes compostable,B008KJEYLO,WaterWipes,1,546,KS7246,42.99,4.4,5223
2019-09-08,5,2,baby wipes sensitive,B07MHTN4HW,Huggies,1,546,KS7246,8.98,4.7,557
2019-09-08,5,2,baby wipes unscented,B07MVS998P,Huggies,1,546,KS7246,12.99,4.6,641
2019-09-08,5,2,baby+wipes,B07MVS998P,Huggies,1,546,KS7246,12.99,4.6,641
2019-09-08,5,2,diaper,B07MP6VXRN,Huggies,1,546,KS7246,39.76,4.5,651
2019-09-08,5,2,diaper huggies newborn,B07MYVX56H,Huggies,1,546,KS7246,46,4.3,587
2019-09-08,5,2,diaper newborn,B07MYVXSDH,Huggies,1,546,KS7246,24.27,4.5,651
2019-09-08,5,2,diaper size 1,B07MP6VXRN,Huggies,1,546,KS7246,39.76,4.5,651
2019-09-08,5,2,diaper size 4,B07MYVXJDD,Huggies,1,546,KS7246,46.17,4.3,587
2019-09-08,5,2,diaper size 5,B07MYW25CJ,Huggies,1,546,KS7246,46.7,4.3,587
2019-09-08,5,2,diapers,B07MP6VXRN,Huggies,1,546,KS7246,39.76,4.5,651
2019-09-08,5,2,diapers newborn,B07MYVXSDH,Huggies,1,546,KS7246,24.27,4.5,651
2019-09-08,5,2,diapers size 1,B07MP6VXRN,Huggies,1,546,KS7246,39.76,4.5,651
2019-09-08,5,2,diapers size 4,B07MYVXJDD,Huggies,1,546,KS7246,46.17,4.3,587
2019-09-08,5,2,diapers size 5,B07MYW25CJ,Huggies,1,546,KS7246,46.7,4.3,587
2019-09-08,5,2,diapers size 6,B01M35MVDE,Pampers,1,546,KS7246,49.98,3.9,1009
2019-09-08,5,2,honest company diapers size 1,B07G8VKJGX,The Honest Company,1,546,KS7246,43.96,4,459
2019-09-08,5,2,honest diapers newborn,B07G4TDMBB,The Honest Company,1,546,KS7246,25.99,4.1,552
2019-09-08,5,2,huggies,B07MYVX56H,Huggies,1,546,KS7246,46,4.3,587
2019-09-08,5,2,huggies baby wipes,B07MHTN4HW,Huggies,1,546,KS7246,8.98,4.7,557
2019-09-08,5,2,huggies diapers 3,B07MKYKPCK,Huggies,1,546,KS7246,45.6,4.5,651
2019-09-08,5,2,huggies diapers size 1,B07MYVX56H,Huggies,1,546,KS7246,46,4.3,587
2019-09-08,5,2,huggies natural care wipes,B07MHTN4HW,Huggies,1,546,KS7246,8.98,4.7,557
2019-09-08,5,2,huggies overnites size 5,B07MYW25CJ,Huggies,1,546,KS7246,46.7,4.3,587
2019-09-08,5,2,huggies size 1,B07R15693G,Huggies,1,546,KS7246,49.88,4.5,325
2019-09-08,5,2,huggies size 2,B07QZ1GB89,Huggies,1,546,KS7246,49.98,4.5,325
2019-09-08,5,2,huggies size 3,B07MYVX56H,Huggies,1,546,KS7246,46,4.3,587
2019-09-08,5,2,huggies size 4,B07MDRNHYC,Huggies,1,546,KS7246,46.39,4.5,651
2019-09-08,5,2,huggies size 5,B07MRQ9PKY,Huggies,1,546,KS7246,46.99,4.5,651
2019-09-08,5,2,huggies size 6,B07M6FLDW1,Huggies,1,546,KS7246,46.7,4.5,651
2019-09-08,5,2,huggies wipes,B07MHTN4HW,Huggies,1,546,KS7246,8.98,4.7,557
2019-09-08,5,2,huggies wipes unscented,B07MHTN4HW,Huggies,1,546,KS7246,8.98,4.7,557
2019-09-08,5,2,natural baby wipes,B07MHTN4HW,Huggies,1,546,KS7246,8.98,4.7,557
2019-09-08,5,2,newborn diaper,B07MYVXSDH,Huggies,1,546,KS7246,24.27,4.5,651
2019-09-08,5,2,newborn diapers,B07MYVXSDH,Huggies,1,546,KS7246,24.27,4.5,651
2019-09-08,5,2,newborn diapers honest,B07G4V2J28,The Honest Company,1,546,KS7246,24.82,4.1,552
2019-09-08,5,2,newborn diapers supersize,B01DY8MMQY,Seventh Generation,1,546,KS7246,42.56,3.4,1237
2019-09-08,5,2,pamper diapers size 1,B07DCB7H79,Pampers,1,546,KS7246,27.39,3.9,1009
2019-09-08,5,2,pampers diapers size 1,B07DCB7H79,Pampers,1,546,KS7246,27.39,3.9,1009
