date,time,position,keywords,asin,brand,ispromoted,accountid,ks,price,rate,reviews
2019-09-08,5,0,incontinence pads,null,Poise,1,541,KS7246,null,null,null
2019-09-08,5,0,kotex overnight pads,null,Stayfree,1,541,KS7246,null,null,null
2019-09-08,5,0,liner,null,Poise,1,541,KS7246,null,null,null
2019-09-08,5,0,maternity pads postpartum,null,Poise,1,541,KS7246,null,null,null
2019-09-08,5,0,maxi pads postpartum,null,Poise,1,541,KS7246,null,null,null
2019-09-08,5,0,organic overnight pads,null,Stayfree,1,541,KS7246,null,null,null
2019-09-08,5,0,overnight incontinence pads,null,Poise,1,541,KS7246,null,null,null
2019-09-08,5,0,pads,null,Poise,1,541,KS7246,null,null,null
2019-09-08,5,0,pads with wings,null,Poise,1,541,KS7246,null,null,null
2019-09-08,5,0,poise,null,Poise,1,541,KS7246,null,null,null
2019-09-08,5,0,poise daily liners,null,Stayfree,1,541,KS7246,null,null,null
2019-09-08,5,0,poise incontinence pads,null,Poise,1,541,KS7246,null,null,null
2019-09-08,5,0,poise liners,null,Poise,1,541,KS7246,null,null,null
2019-09-08,5,0,poise liners long length,null,Poise,1,541,KS7246,null,null,null
2019-09-08,5,0,poise overnight pads,null,Poise,1,541,KS7246,null,null,null
2019-09-08,5,0,poise pads,null,Poise,1,541,KS7246,null,null,null
2019-09-08,5,0,poise pads 3 regular length,null,Poise,1,541,KS7246,null,null,null
2019-09-08,5,0,poise pads regular length,null,Poise,1,541,KS7246,null,null,null
2019-09-08,5,0,poise panty liners,null,Poise,1,541,KS7246,null,null,null
2019-09-08,5,0,post hysterectomy pads,null,Everyday Medical,1,541,KS7246,null,null,null
2019-09-08,5,0,postpartum pads,null,Poise,1,541,KS7246,null,null,null
2019-09-08,5,0,sanitary pads cotton,null,Alpine Industries,1,541,KS7246,null,null,null
2019-09-08,5,0,sanitary pads for women,null,Poise,1,541,KS7246,null,null,null
2019-09-08,5,0,tena pads for women,null,Poise,1,541,KS7246,null,null,null
